1 1. zeta2_mtdna_m62.txt under HKY85; 10 x 1 haploid idividuals  evolving at G=0 on a 10 x 1 lattice with absorbing boundaries; mutation proba=5e-05; replicate # 62; Mrca Moy= 1.02202e+06; MRCA MAX=4415835
20 pop51
1     , 1
1     , 2
2     , 3
2     , 4
3     , 5
3     , 6
4     , 7
4     , 8
5     , 9
5     , 10
6     , 11
6     , 12
7     , 12
7     , 13
8     , 12
8     , 14
9     , 12
9     , 15
10     , 16
10     , 17
20 pop151
11     , 18
11     , 19
12     , 20
12     , 21
13     , 22
13     , 23
14     , 24
14     , 23
15     , 25
15     , 26
16     , 27
16     , 28
17     , 2
17     , 29
18     , 30
18     , 31
19     , 32
19     , 33
20     , 34
20     , 26
20 pop251
21     , 14
21     , 22
22     , 35
22     , 5
23     , 18
23     , 36
24     , 15
24     , 37
25     , 7
25     , 14
26     , 26
26     , 2
27     , 12
27     , 30
28     , 10
28     , 5
29     , 38
29     , 24
30     , 39
30     , 22
20 pop351
31     , 40
31     , 6
32     , 40
32     , 8
33     , 41
33     , 42
34     , 15
34     , 43
35     , 24
35     , 13
36     , 44
36     , 45
37     , 46
37     , 23
38     , 47
38     , 48
39     , 49
39     , 50
40     , 51
40     , 52
20 pop451
41     , 26
41     , 14
42     , 53
42     , 16
43     , 54
43     , 2
44     , 55
44     , 56
45     , 23
45     , 57
46     , 19
46     , 35
47     , 58
47     , 2
48     , 34
48     , 6
49     , 18
49     , 8
50     , 59
50     , 17
20 pop551
51     , 23
51     , 10
52     , 55
52     , 12
53     , 60
53     , 61
54     , 12
54     , 56
55     , 62
55     , 7
56     , 14
56     , 63
57     , 6
57     , 64
58     , 60
58     , 51
59     , 65
59     , 15
60     , 66
60     , 50
20 pop651
61     , 67
61     , 44
62     , 68
62     , 41
63     , 69
63     , 70
64     , 25
64     , 2
65     , 71
65     , 72
66     , 26
66     , 44
67     , 73
67     , 74
68     , 56
68     , 41
69     , 2
69     , 75
70     , 76
70     , 77
20 pop751
71     , 49
71     , 78
72     , 50
72     , 37
73     , 13
73     , 79
74     , 40
74     , 78
75     , 23
75     , 71
76     , 46
76     , 22
77     , 45
77     , 80
78     , 6
78     , 31
79     , 39
79     , 48
80     , 40
80     , 78
20 pop851
81     , 76
81     , 47
82     , 41
82     , 81
83     , 25
83     , 65
84     , 46
84     , 29
85     , 45
85     , 46
86     , 26
86     , 82
87     , 2
87     , 64
88     , 46
88     , 6
89     , 12
89     , 46
90     , 83
90     , 56
20 pop951
91     , 84
91     , 26
92     , 85
92     , 14
93     , 9
93     , 2
94     , 18
94     , 2
95     , 86
95     , 87
96     , 59
96     , 57
97     , 41
97     , 56
98     , 88
98     , 72
99     , 89
99     , 2
100     , 90
100     , 91
